interactor A gene symbol	interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC
IFNG	RP3-503F13.3	P01579	-
IFNG	GOPC	P01579	Q9HD26
IFNG	IFNGR2	P01579	P38484
IFNG	STAT6	P01579	P42226
IFNG	IFNG	P01579	P01579
CD28	PIK3CA	P10747	P42336
CD28	DUSP14	P10747	O95147
CD28	PIK3R1	P10747	P27986
CD28	CD80	P10747	P33681
CD28	DOK1	P10747	Q99704
CD28	PIK3R2	P10747	O00459
CD28	RP3-370M22.1	P10747	-
CD28	RP23-28I4.1	P10747	-
CD28	GRB2	P10747	P62993
CD28	VAV1	P10747	P15498
HLA-B	HLA-B	P01889	P01889
HLA-B	CDABP0067	P01889	-
HLA-B	TRIB3	P01889	Q96RU7
HLA-B	RP5-1103G7.7	P01889	-
HLA-B	LILRB2	P01889	Q8N423
HLA-B	XXbac-BCX105G6.12-005	P01889	-
HLA-B	LILRB1	P01889	Q8NHL6
HLA-B	XXbac-BCX85G21.4	P01889	-
HLA-B	ARHGEF4	P01889	Q9NR80
HLA-B	PCK1	P01889	P35558
HLA-B	MMS19	P01889	Q96T76
HLA-B	RP11-452K12.5	P01889	-
HLA-B	SIAE	P01889	Q9HAT2
HLA-B	EDEM1	P01889	Q92611
HLA-B	CXCR4	P01889	P61073
HLA-B	FAF2	P01889	Q96CS3
HLA-B	ERBB3	P01889	P21860
HLA-B	ADRB2	P01889	P07550
HLA-B	PI4KA	P01889	P42356
HLA-B	PTPRO	P01889	Q16827
HLA-B	ASIC4	P01889	Q96FT7
HLA-B	TCTN2	P01889	Q96GX1
HLA-B	HLA-G	P01889	P17693
HLA-B	DADB-15K14.8	P01889	-
HLA-B	ADAM21	P01889	Q9UKJ8
HLA-B	EGFR	P01889	P00533
HLA-B	TMPRSS11B	P01889	Q86T26
HLA-B	TMEM30A	P01889	Q9NV96
HLA-B	SDHA	P01889	P31040
HLA-B	Tap1	P01889	-
HLA-B	Tap2	P01889	-
HLA-B	env	P01889	-
HLA-B	HIV1gp8	P01889	-
HLA-B	HLA-C	P01889	P10321
KIR3DL1	KIR3DL1	P43629	P43629
KIR3DL1	XXbac-BCX195L8.4	P43629	-
KIR3DL1	KIR2DS2	P43629	P43631
KIR3DL1	CU464060.1	P43629	-
KIR3DL1	env	P43629	-
KIR3DL1	HIV1gp8	P43629	-
HLA-C	HLA-C	P10321	P10321
HLA-C	XXbac-BCX101P6.2	P10321	-
HLA-C	UBC	P10321	P0CG48
HLA-C	LILRB2	P10321	Q8N423
HLA-C	XXbac-BCX105G6.12-005	P10321	-
HLA-C	LILRB1	P10321	Q8NHL6
HLA-C	XXbac-BCX85G21.4	P10321	-
HLA-C	PCK1	P10321	P35558
HLA-C	KIR2DL1	P10321	P43626
HLA-C	XXbac-BCX195L8.1	P10321	-
HLA-C	KIR2DS2	P10321	P43631
HLA-C	CU464060.1	P10321	-
HLA-C	KIR2DL3	P10321	P43628
HLA-C	CU464054.1	P10321	-
HLA-C	TAP2	P10321	Q03519
HLA-C	DAAP-57C1.2	P10321	-
HLA-C	KIR2DL2	P10321	P43627
HLA-C	CU464060.2	P10321	-
HLA-C	FBXO6	P10321	Q9NRD1
HLA-C	RP3-330O12.3	P10321	-
HLA-C	MMS19	P10321	Q96T76
HLA-C	RP11-452K12.5	P10321	-
HLA-C	TMEM30A	P10321	Q9NV96
HLA-C	CDABP0067	P10321	-
HLA-C	PTCH1	P10321	Q13635
HLA-C	RP11-435O5.3	P10321	-
HLA-C	CDC25A	P10321	P30304
HLA-C	BATF2	P10321	Q8N1L9
HLA-C	RNF139	P10321	Q8WU17
HLA-C	CUL7	P10321	Q14999
HLA-C	CCDC8	P10321	Q9H0W5
HLA-C	ATP1B3	P10321	P54709
HLA-C	HMOX1	P10321	P09601
HLA-C	CTA-286B10.6	P10321	-
HLA-C	FAF2	P10321	Q96CS3
HLA-C	TMEM63B	P10321	Q5T3F8
HLA-C	RP3-421H19.2	P10321	-
HLA-C	IFI16	P10321	Q16666
HLA-C	MAPK8IP2	P10321	Q13387
HLA-C	ADRB2	P10321	P07550
HLA-C	ST6GAL1	P10321	P15907
HLA-C	PTPRO	P10321	Q16827
HLA-C	ASIC4	P10321	Q96FT7
HLA-C	TMED6	P10321	Q8WW62
HLA-C	UNQ9146/PRO34237	P10321	-
HLA-C	MTM1	P10321	Q13496
HLA-C	PPM1E	P10321	Q8WY54
HLA-C	MTMR12	P10321	Q9C0I1
HLA-C	HLA-G	P10321	P17693
HLA-C	DADB-15K14.8	P10321	-
HLA-C	DNAJC1	P10321	Q96KC8
HLA-C	RP11-399C16.1	P10321	-
HLA-C	TMEM223	P10321	A0PJW6
HLA-C	CDH1	P10321	P12830
HLA-C	ADAM33	P10321	Q9BZ11
HLA-C	RP5-964F7.2	P10321	-
HLA-C	ST8SIA4	P10321	Q92187
HLA-C	HTR3A	P10321	P46098
HLA-C	LIPG	P10321	Q9Y5X9
HLA-C	UNQ387/PRO719	P10321	-
HLA-C	GABRA3	P10321	P34903
HLA-C	TSHB	P10321	P01222
HLA-C	env	P10321	-
HLA-C	HIV1gp8	P10321	-
HLA-C	Bmpr1a	P10321	-
HLA-C	Ptpn2	P10321	-
HLA-C	Rab5c	P10321	-
HLA-C	RP23-390D17.8	P10321	-
HLA-C	Tgfbr1	P10321	-
HLA-C	RP23-457P12.1	P10321	-
HLA-C	Calml3	P10321	-
HLA-C	Tuba3a	P10321	-
IL10	IL10	P22301	P22301
IL10	RP11-262N9.1	P22301	-
IL10	IL10RA	P22301	Q13651
IL10	A2M	P22301	P01023
IL2	IL2RG	P60568	P31785
IL2	IL17A	P60568	Q16552
CCL2	CTA-134P22.3	P13500	-
CCL2	VCAN	P13500	P13611
CCL2	RP1-108C2.3	P13500	-
CCL2	PCNA	P13500	P12004
CCL2	CDC6	P13500	Q99741
CCL2	ORC4	P13500	O43929
CCL2	MCM7	P13500	P33993
CCL2	ORC2	P13500	Q13416
CCL2	MCM2	P13500	P49736
CCL2	CCR3	P13500	P51677
CCL2	Ccr2	P13500	-
CCL2	CCL2	P13500	P13500
CCL2	CCL5	P13500	P13501
CXCL12	CXCL12	P48061	P48061
CXCL12	FN1	P48061	P02751
CXCL12	CXCR4	P48061	P61073
CXCL12	DAZAP2	P48061	Q15038
CXCL12	VCAN	P48061	P13611
CXCL12	PF4	P48061	P02776
MBL2	KRT1	P11226	P04264
MBL2	MBL2	P11226	P11226
MBL2	RP11-94H3.1	P11226	-
MBL2	TRAPPC2	P11226	P0DI81
IL2RA	IL2RA	P01589	P01589
IL2RA	RP11-536K7.1	P01589	-
IL2RA	ICAM1	P01589	P05362
IL2RA	SNTA1	P01589	Q13424
CCL3	CCL3	P10147	P10147
CCL3	CCR4	P10147	P51679
CCL3	CCL4	P10147	P13236
CCL3	ZFP36	P10147	P26651
CCL3	CCR5	P10147	P51681
CCL3L1	CCR5	P16619	P51681
CCL3L1	CCR1	P16619	P32246
CCL3L1	CCR3	P16619	P51677
CX3CR1	A-152E5.2	P49238	-
TRIM5	TRIM21	Q9C035	P19474
TRIM5	MNAT1	Q9C035	P51948
TRIM5	SOCS1	Q9C035	O15524
TRIM5	UBE2N	Q9C035	P61088
TRIM5	PCBD1	Q9C035	P61457
TRIM5	MKRN3	Q9C035	Q13064
TRIM5	PSMD7	Q9C035	P51665
TRIM5	LZTR1	Q9C035	Q8N653
TRIM5	USP15	Q9C035	Q9Y4E8
TRIM5	CUEDC1	Q9C035	Q9NWM3
TRIM5	UBC	Q9C035	P0CG48
TRIM5	OTUD6A	Q9C035	Q7L8S5
TRIM5	OTUB2	Q9C035	Q96DC9
TRIM5	PSMC5	Q9C035	P62195
TRIM5	RP1-154G14.1	Q9C035	-
TRIM5	RP11-385F5.1	Q9C035	-
TRIM5	UBE2D2	Q9C035	P62837
TRIM5	XPO1	Q9C035	O14980
TRIM5	CREB1	Q9C035	P16220
TRIM5	ZWINT	Q9C035	O95229
TRIM5	MAP3K1	Q9C035	Q13233
TRIM5	RP23-46N3.2	Q9C035	-
TRIM5	UBE2D1	Q9C035	P51668
TRIM5	CGI-21	Q9C035	-
TRIM5	PRKCG	Q9C035	P05129
TRIM5	RP11-67K19.1	Q9C035	-
TRIM5	PSMC2	Q9C035	P35998
TRIM5	HSPA4	Q9C035	P34932
TRIM5	DADB-118P11.2	Q9C035	-
TRIM5	UBE2D3	Q9C035	P61077
TRIM5	PIAS1	Q9C035	O75925
TRIM5	MAP3K11	Q9C035	Q16584
TRIM5	HSPA8	Q9C035	P11142
TRIM5	RP1-111D6.3	Q9C035	-
TRIM5	USP2	Q9C035	O75604
TRIM5	RP11-356I2.3	Q9C035	-
TRIM5	HIV1gp2	Q9C035	-
TRIM5	UBE2D4	Q9C035	Q9Y2X8
TRIM5	TRIM5	Q9C035	Q9C035
TRIM5	IKBKG	Q9C035	Q9Y6K9
TRIM5	TRIM34	Q9C035	Q9BYJ4
TRIM5	UBE2H	Q9C035	P62256
TRIM5	TRIM6	Q9C035	Q9C030
TRIM5	UBB	Q9C035	P0CG47
TRIM5	AC002059.7	Q9C035	-
TRIM5	TAB3	Q9C035	Q8N5C8
TRIM5	USP5	Q9C035	P45974
TRIM5	LGALS3	Q9C035	P17931
TRIM5	HHV5wtgp108	Q9C035	-
TRIM5	TRIM35	Q9C035	Q9UPQ4
TRIM5	TUBA1A	Q9C035	Q71U36
TRIM5	UBE2K	Q9C035	P61086
TRIM5	RP11-297K8.3	Q9C035	-
TRIM5	YARS	Q9C035	-
TRIM5	PSMC4	Q9C035	P43686
TRIM5	SQSTM1	Q9C035	Q13501
TRIM5	RP4-636O23.1	Q9C035	-
TRIM5	UBE2V2	Q9C035	Q15819
APOA1	KIAA0754	P02647	O94854
APOA1	LBP	P02647	P18428
APOA1	C1QA	P02647	P02745
APOA1	GOT1L1	P02647	Q8NHS2
APOA1	DAAP-65D20.6	P02647	-
APOA1	APOD	P02647	P05090
APOA1	CMTM5	P02647	Q96DZ9
APOA1	MOCOS	P02647	Q96EN8
APOA1	RP11-101E13.2	P02647	-
APOA1	APOB	P02647	P04114
APOA1	DNTT	P02647	P04053
APOA1	TNS3	P02647	Q68CZ2
APOA1	SAA2	P02647	P0DJI9
APOA1	PSEC0156	P02647	-
APOA1	MAPK6	P02647	Q16659
APOA1	ABCA6	P02647	Q8N139
APOA1	TXNDC2	P02647	Q86VQ3
APOA1	RP11-284F21.3	P02647	-
APOA1	SERTAD3	P02647	Q9UJW9
APOA1	RP11-65B23.1	P02647	-
APOA1	AAG4	P02647	-
APOA1	ZNF558	P02647	Q96NG5
APOA1	IGKC	P02647	P01834
APOA1	GDPD1	P02647	Q8N9F7
APOA1	BRAP	P02647	Q7Z569
APOA1	DDX19B	P02647	Q9UMR2
APOA1	SPEF2	P02647	Q9C093
APOA1	HBA1	P02647	P69905
APOA1	PDE1A	P02647	P54750
APOA1	Cep135	P02647	-
APOA1	FAM83C	P02647	Q9BQN1
APOA1	ERVK-10	P02647	P10265|P10266|P61580|P87889
APOA1	RP11-93H24.1	P02647	-
APOA1	ROBO3	P02647	Q96MS0
APOA1	HP	P02647	P00738
APOA1	RP5-876C12.1	P02647	-
APOA1	DDX31	P02647	Q9H8H2
APOA1	GIG20	P02647	-
APOA1	APOC3	P02647	P02656
APOA1	RP11-569D9.1	P02647	-
APOA1	KRT9	P02647	P35527
APOA1	AKT2	P02647	P31751
APOA1	LCAT	P02647	P04180
APOA1	FN1	P02647	P02751
APOA1	SAFB2	P02647	Q14151
APOA1	QDPR	P02647	P09417
APOA1	JAK3	P02647	P52333
APOA1	APOF	P02647	Q13790
APOA1	MSTP134	P02647	-
APOA1	PP2464	P02647	-
APOA1	PLTP	P02647	P55058
APOA1	Papss1	P02647	-
APOA1	FGA	P02647	P02671
APOA1	RP3-527F8.3	P02647	-
APOA1	APOC1	P02647	P02654
APOA1	FAM169A	P02647	Q9Y6X4
APOA1	U2AF2	P02647	P26368
APOA1	RRP1B	P02647	Q14684
APOA1	ATP4A	P02647	P20648
APOA1	KRT1	P02647	P04264
APOA1	TTR	P02647	P02766
APOA1	PTPN5	P02647	P54829
APOA1	RP11-203M2.2	P02647	-
APOA1	RP11-98D18.12-005	P02647	-
APOA1	ABCA1	P02647	O95477
APOA1	SMPDL3A	P02647	Q92484
APOA1	hCG_24006	P02647	-
APOA1	APP	P02647	P05067
APOA1	NLRP1	P02647	Q9C000
APOA1	KRT16	P02647	P08779
APOA1	VCAM1	P02647	P19320
APOA1	Lep	P02647	-
APOA1	RP1-68O2.2	P02647	-
APOA1	MIS12	P02647	Q9H081
APOA1	mCG_129875	P02647	-
APOA1	SCARB1	P02647	Q8WTV0
APOA1	VCP	P02647	P55072
APOA1	ALDH2	P02647	P05091
APOA1	RP4-597N16.2	P02647	-
APOA1	APOA1	P02647	P02647
APOA1	GPLD1	P02647	P80108
APOA1	IGKV2-40	P02647	A0A087WW87
APOA1	CTA-941F9.7	P02647	-
APOA1	C1QC	P02647	P02747
APOA1	CP	P02647	P00450
APOA1	APOA2	P02647	P02652
APOA1	ABCA13	P02647	Q86UQ4
SERPINA1	RAP2A	P01009	P10114
SERPINA1	RP11-128N14.2	P01009	-
SERPINA1	MIS12	P01009	Q9H081
SERPINA1	KLK3	P01009	P07288
SERPINA1	ELANE	P01009	P08246
SERPINA1	PRTN3	P01009	P24158
SERPINA1	DERL2	P01009	Q9GZP9
SERPINA1	CGI-101	P01009	-
SERPINA1	DERL1	P01009	Q9BUN8
SERPINA1	UNQ243/PRO276	P01009	-
SERPINA1	VCP	P01009	P55072
SERPINA1	SERPINA1	P01009	P01009
SERPINA1	PRO0684	P01009	-
SERPINA1	OS9	P01009	Q13438
SERPINA1	ATP5C1	P01009	-
SERPINA1	RP11-401E9.1	P01009	-
SERPINA1	GSDMB	P01009	Q8TAX9
SERPINA1	PP4052	P01009	-
SERPINA1	SSR1	P01009	P43307
SERPINA1	PSEC0262	P01009	-
SERPINA1	CANX	P01009	P27824
SERPINA1	FN1	P01009	P02751
SERPINA1	HSPA5	P01009	P11021
SERPINA1	ALDH2	P01009	P05091
SERPINA1	PLK2	P01009	Q9NYY3
SERPINA1	DDX19B	P01009	Q9UMR2
SERPINA1	ZNF558	P01009	Q96NG5
SERPINA1	ICE2	P01009	Q659A1
SERPINA1	UNQ3101/PRO10100	P01009	-
SERPINA1	ERLEC1	P01009	Q96DZ1
SERPINA1	UNQ1878/PRO4321	P01009	-
SERPINA1	ECHS1	P01009	P30084
SERPINA1	SDC2	P01009	P34741
SERPINA1	RCHY1	P01009	Q96PM5
SERPINA1	VKORC1	P01009	Q9BQB6
SERPINA1	MSTP134	P01009	-
SERPINA1	LAMTOR5	P01009	O43504
SERPINA1	CA8	P01009	P35219
SERPINA1	GDPD1	P01009	Q8N9F7
SERPINA1	FBXO2	P01009	Q9UK22
SERPINA1	DDX31	P01009	Q9H8H2
SERPINA1	MAPK6	P01009	Q16659
SERPINA1	GOT1L1	P01009	Q8NHS2
SERPINA1	SNX27	P01009	Q96L92
SERPINA1	RP11-98D18.12-005	P01009	-
SERPINA1	UPF3A	P01009	Q9H1J1
SERPINA1	RP11-569D9.1	P01009	-
SERPINA1	HSPA8	P01009	P11142
SERPINA1	SQSTM1	P01009	Q13501
SERPINA1	CPR2	P01009	-
SERPINA1	YHR057C	P01009	-
SIRT1	SIRT1	Q96EB6	Q96EB6
SIRT1	RP11-57G10.3	Q96EB6	-
SIRT1	NR1H3	Q96EB6	Q13133
SIRT1	NR1H2	Q96EB6	P55055
SIRT1	NR0B2	Q96EB6	Q15466
SIRT1	HNF4A	Q96EB6	P41235
SIRT1	RP5-1013A22.1	Q96EB6	-
SIRT1	SETD7	Q96EB6	Q8WTS6
SIRT1	STK4	Q96EB6	Q13043
SIRT1	SMAD7	Q96EB6	O15105
SIRT1	MAPT	Q96EB6	P10636
SIRT1	VDR	Q96EB6	P11473
SIRT1	FOXO3	Q96EB6	O43524
SIRT1	FOXO4	Q96EB6	P98177
SIRT1	SUV39H1	Q96EB6	O43463
SIRT1	HES1	Q96EB6	Q14469
SIRT1	HEY2	Q96EB6	Q9UBP5
SIRT1	RP1-293L8.3	Q96EB6	-
SIRT1	KAT5	Q96EB6	Q92993
SIRT1	AKIP1	Q96EB6	Q9NQ31
SIRT1	AR	Q96EB6	P10275
SIRT1	RP11-383C12.1	Q96EB6	-
SIRT1	EZH2	Q96EB6	Q15910
SIRT1	BCL11A	Q96EB6	Q9H165
SIRT1	FOXO1	Q96EB6	Q12778
SIRT1	RRP8	Q96EB6	O43159
SIRT1	hucep-1	Q96EB6	-
SIRT1	ZBTB7A	Q96EB6	O95365
SIRT1	HSF1	Q96EB6	Q00613
SIRT1	KAT2B	Q96EB6	Q92831
SIRT1	MAPK8	Q96EB6	P45983
SIRT1	NUDT21	Q96EB6	O43809
SIRT1	PAPOLA	Q96EB6	P51003
SIRT1	PPARGC1A	Q96EB6	Q9UBK2
SIRT1	HNF1A	Q96EB6	P20823
SIRT1	SKI	Q96EB6	P12755
SIRT1	TP53	Q96EB6	P04637
SIRT1	BRD4	Q96EB6	O60885
SIRT1	MECOM	Q96EB6	Q03112
SIRT1	hCG_1640438	Q96EB6	-
SIRT1	ATG7	Q96EB6	O95352
SIRT1	ATG5	Q96EB6	Q9H1Y0
SIRT1	GABARAPL1	Q96EB6	Q9H0R8
SIRT1	USP22	Q96EB6	Q9UPT9
SIRT1	LTA4H	Q96EB6	P09960
SIRT1	NUDCD2	Q96EB6	Q8WVJ2
SIRT1	AHCY	Q96EB6	P23526
SIRT1	RBM25	Q96EB6	P49756
SIRT1	KYNU	Q96EB6	Q16719
SIRT1	HIC1	Q96EB6	Q14526
SIRT1	ESRRA	Q96EB6	P11474
SIRT1	DVL2	Q96EB6	O14641
SIRT1	CTNNB1	Q96EB6	P35222
SIRT1	OK/SW-cl.35	Q96EB6	-
SIRT1	MLLT3	Q96EB6	P42568
SIRT1	MLLT1	Q96EB6	Q03111
SIRT1	NPM1	Q96EB6	P06748
SIRT1	DOT1L	Q96EB6	Q8TEK3
SIRT1	AKT1	Q96EB6	P31749
SIRT1	BRINP1	Q96EB6	O60477
SIRT1	IB3089A	Q96EB6	-
SIRT1	ECT2	Q96EB6	Q9H8V3
SIRT1	CDKL1	Q96EB6	Q00532
SIRT1	RPTOR	Q96EB6	Q8N122
SIRT1	CDK6	Q96EB6	Q00534
SIRT1	CCAR2	Q96EB6	Q8N163
SIRT1	CHEK2	Q96EB6	O96017
SIRT1	RP11-436C9.1	Q96EB6	-
SIRT1	ZBTB38	Q96EB6	Q8NAP3
SIRT1	TADA2B	Q96EB6	Q86TJ2
SIRT1	SFRP4	Q96EB6	Q6FHJ7
SIRT1	DNMT1	Q96EB6	P26358
SIRT1	DNMT3B	Q96EB6	Q9UBC3
SIRT1	RP5-1085F17.2	Q96EB6	-
SIRT1	UVSSA	Q96EB6	Q2YD98
SIRT1	PML	Q96EB6	P29590
SIRT1	POP1	Q96EB6	Q99575
SIRT1	PPARA	Q96EB6	Q07869
SIRT1	SC22CB-5E3.5	Q96EB6	-
SIRT1	KCNA5	Q96EB6	P22460
SIRT1	KCNA4	Q96EB6	P22459
SIRT1	KCNAB2	Q96EB6	Q13303
SIRT1	RP1-233K16.1	Q96EB6	-
SIRT1	EP300	Q96EB6	Q09472
SIRT1	RP1-85F18.1	Q96EB6	-
SIRT1	E2F1	Q96EB6	Q01094
SIRT1	VHL	Q96EB6	P40337
SIRT1	PSME3	Q96EB6	P61289
SIRT1	STK11	Q96EB6	Q15831
SIRT1	RPS19BP1	Q96EB6	Q86WX3
SIRT1	RP5-1104E15.4	Q96EB6	-
SIRT1	CDK1	Q96EB6	P06493
SIRT1	IRS2	Q96EB6	Q9Y4H2
SIRT1	IRS1	Q96EB6	P35568
SIRT1	TSC2	Q96EB6	P49815
SIRT1	SREBF1	Q96EB6	P36956
SIRT1	TP73	Q96EB6	O15350
SIRT1	NMNAT1	Q96EB6	Q9HAN9
SIRT1	RP11-807G9.1	Q96EB6	-
SIRT1	APEX1	Q96EB6	P27695
SIRT1	SNW1	Q96EB6	Q13573
SIRT1	RARA	Q96EB6	P10276
SIRT1	MTA1	Q96EB6	Q13330
SIRT1	HOXB5	Q96EB6	P09067
SIRT1	RPL6	Q96EB6	Q02878
SIRT1	RPS2	Q96EB6	P15880
SIRT1	AKR1D1	Q96EB6	P51857
SIRT1	FGF10	Q96EB6	O15520
SIRT1	CWC15	Q96EB6	Q9P013
SIRT1	AD-002	Q96EB6	-
SIRT1	PARP1	Q96EB6	P09874
SIRT1	RP11-125A15.2	Q96EB6	-
SIRT1	FOXP3	Q96EB6	Q9BZS1
SIRT1	JM2	Q96EB6	-
SIRT1	ZEB1	Q96EB6	P37275
SIRT1	RP11-472N13.4	Q96EB6	-
SIRT1	WRN	Q96EB6	Q14191
SIRT1	USP37	Q96EB6	Q86T82
SIRT1	MPHOSPH8	Q96EB6	Q99549
SIRT1	RP11-523H24.1	Q96EB6	-
SIRT1	ZMIZ1	Q96EB6	Q9ULJ6
SIRT1	RP11-519K18.1	Q96EB6	-
SIRT1	ZYX	Q96EB6	Q15942
SIRT1	FOXL2	Q96EB6	P58012
SIRT1	TRIM28	Q96EB6	Q13263
SIRT1	EWSR1	Q96EB6	Q01844
SIRT1	AC002059.7	Q96EB6	-
SIRT1	HSP90AA1	Q96EB6	P07900
SIRT1	THOC5	Q96EB6	Q13769
SIRT1	LRPPRC	Q96EB6	P42704
SIRT1	FBXO7	Q96EB6	Q9Y3I1
SIRT1	LL22NC03-28H9.2	Q96EB6	-
SIRT1	SMEK1	Q96EB6	-
SIRT1	MSTP033	Q96EB6	-
SIRT1	HNRNPA1L2	Q96EB6	Q32P51
SIRT1	RP11-78J21.1	Q96EB6	-
SIRT1	CEP44	Q96EB6	Q9C0F1
SIRT1	HDAC4	Q96EB6	P56524
SIRT1	MCM10	Q96EB6	Q7L590
SIRT1	PRO2249	Q96EB6	-
SIRT1	CSNK2B	Q96EB6	P67870
SIRT1	DADB-127H9.2	Q96EB6	-
SIRT1	MYCN	Q96EB6	P04198
SIRT1	ELAVL1	Q96EB6	Q15717
SIRT1	KAT8	Q96EB6	Q9H7Z6
SIRT1	PP7073	Q96EB6	-
SIRT1	SATB1	Q96EB6	Q01826
SIRT1	CHFR	Q96EB6	Q96EP1
SIRT1	ZNF707	Q96EB6	Q96C28
SIRT1	TNNI2	Q96EB6	P48788
SIRT1	PTPN4	Q96EB6	P29074
SIRT1	MTFR2	Q96EB6	Q6P444
SIRT1	RP11-472E5.1	Q96EB6	-
SIRT1	ZNF669	Q96EB6	Q96BR6
SIRT1	RP11-107G24.2	Q96EB6	-
SIRT1	TBCCD1	Q96EB6	Q9NVR7
SIRT1	ZNF263	Q96EB6	O14978
SIRT1	TULP3	Q96EB6	O75386
SIRT1	CERKL	Q96EB6	Q49MI3
SIRT1	APEX2	Q96EB6	Q9UBZ4
SIRT1	RP5-884M20.3	Q96EB6	-
SIRT1	ZNF550	Q96EB6	Q7Z398
SIRT1	SOST	Q96EB6	Q9BQB4
SIRT1	UNQ2976/PRO7455/PRO7476	Q96EB6	-
SIRT1	RBFA	Q96EB6	Q8N0V3
SIRT1	ZNF785	Q96EB6	A8K8V0
SIRT1	CLK3	Q96EB6	P49761
SIRT1	HERC2	Q96EB6	O95714
SIRT1	MDM2	Q96EB6	Q00987
SIRT1	NDN	Q96EB6	Q99608
SIRT1	VWA3B	Q96EB6	Q502W6
SIRT1	ZNF354C	Q96EB6	Q86Y25
SIRT1	HOXB9	Q96EB6	P17482
SIRT1	tat	Q96EB6	-
SIRT1	HIV1gp5	Q96EB6	-
SIRT1	Cdca8	Q96EB6	-
SIRT1	RP23-168M5.8	Q96EB6	-
SIRT1	Sirt1	Q96EB6	-
SIRT1	DYRK3	Q96EB6	O43781
SIRT1	RP11-343H5.2	Q96EB6	-
SIRT1	DYRK1A	Q96EB6	Q13627
SIRT1	CSNK2A2	Q96EB6	P19784
SIRT1	Crebbp	Q96EB6	-
SIRT1	Ksr1	Q96EB6	-
SIRT1	RP23-12I13.1	Q96EB6	-
SIRT1	Max	Q96EB6	-
SIRT1	Esrrb	Q96EB6	-
SIRT1	Lima1	Q96EB6	-
SIRT1	Ufl1	Q96EB6	-
SIRT1	RP23-35A10.1	Q96EB6	-
SIRT1	Tmed10	Q96EB6	-
SIRT1	Dtl	Q96EB6	-
CD209	LGALS3BP	Q9NNX6	Q08380
CD209	CD209	Q9NNX6	Q9NNX6
CD209	CEACAM5	Q9NNX6	P06731
CD209	KLHL26	Q9NNX6	Q53HC5
CD209	LSP1	Q9NNX6	P33241
CD209	VAC14	Q9NNX6	Q08AM6
CD209	RP11-534L20.1	Q9NNX6	-
CD209	AAG4	Q9NNX6	-
CD209	HTR1B	Q9NNX6	P28222
CD209	CLEC4M	Q9NNX6	Q9H2X3
CD209	FAM217B	Q9NNX6	Q9NTX9
CD209	ZNF703	Q9NNX6	Q9H7S9
CD209	HMGCR	Q9NNX6	P04035
CD209	HSPC057	Q9NNX6	-
HP	SMAD3	P00738	P84022
HP	RP11-143H20.1	P00738	-
HP	MIS12	P00738	Q9H081
HP	DDX31	P00738	Q9H8H2
HP	DDX19B	P00738	Q9UMR2
HP	RP11-327P2.1	P00738	-
HP	My038	P00738	-
HP	RP5-1054A22.2	P00738	-
HP	MSTP134	P00738	-
HP	SORT1	P00738	Q99523
HP	RP11-223J15.3	P00738	-
HP	RP11-98D18.12-005	P00738	-
HP	ELAVL1	P00738	Q15717
HP	MAPK6	P00738	Q16659
HP	GIG20	P00738	-
HP	GDPD1	P00738	Q8N9F7
HP	RP11-260L6.1	P00738	-
HP	TBL1X	P00738	O60907
HP	MVP	P00738	Q14764
HP	WASL	P00738	O00401
HP	GRB2	P00738	P62993
HP	EXOSC9	P00738	Q06265
HP	TP63	P00738	Q9H3D4
HP	HBB	P00738	P68871
CXCR1	CDK1	P25024	P06493
CXCR1	PDCD6IP	P25024	Q8WUM4
CXCR1	GNAI2	P25024	P04899
CXCR1	RP3-447F3.1	P25024	-
CXCR1	TUBA1A	P25024	Q71U36
HSPB1	NPM1	P04792	P06748
HSPB1	RP11-367H5.1	P04792	-
HSPB1	RP11-480K16.1	P04792	-
HSPB1	CPSF3	P04792	Q9UKF6
HSPB1	PNPT1	P04792	Q8TCS8
HSPB1	SUPT5H	P04792	O00267
HSPB1	MPHOSPH6	P04792	Q99547
HSPB1	FLNB	P04792	O75369
HSPB1	RP3-522O2.1	P04792	-
HSPB1	MYL12A	P04792	P19105
HSPB1	WDR66	P04792	Q8TBY9
HSPB1	ADCY9	P04792	O60503
HSPB1	CALR	P04792	P27797
HSPB1	SMARCD1	P04792	Q96GM5
HSPB1	HSP90AA1	P04792	P07900
HSPB1	ALPI	P04792	P09923
HSPB1	SLC7A9	P04792	P82251
HSPB1	ASB4	P04792	Q9Y574
HSPB1	SERTAD1	P04792	Q9UHV2
HSPB1	MME	P04792	P08473
HSPB1	TCPT	P04792	-
HSPB1	CASP3	P04792	P42574
HSPB1	RP11-290D2.1	P04792	-
HSPB1	LCE3A	P04792	Q5TA76
HSPB1	PAICS	P04792	P22234
HSPB1	NVL	P04792	O15381
HSPB1	ACTN4	P04792	O43707
HSPB1	AGAP3	P04792	Q96P47
HSPB1	tcag7.78	P04792	-
HSPB1	RP3-339A18.4	P04792	-
HSPB1	STIP1	P04792	P31948
HSPB1	GRPEL1	P04792	Q9HAV7
HSPB1	ANK1	P04792	P16157
HSPB1	RP11-393H10.1	P04792	-
HSPB1	SEC13	P04792	P55735
HSPB1	SMARCA4	P04792	P51532
HSPB1	PRKCD	P04792	Q05655
HSPB1	RP11-554C12.1	P04792	-
HSPB1	RP13-46G5.1	P04792	-
HSPB1	TKT	P04792	P29401
